  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Epoch 00067 | Loss(train) 0.6523 | Acc(train) 0.7776 | Acc(val) 0.8311 |*
Epoch 00068 | Loss(train) 0.6417 | Acc(train) 0.7877 | Acc(val) 0.8327 |*
Epoch 00069 | Loss(train) 0.6428 | Acc(train) 0.7887 | Acc(val) 0.8352 |*
Epoch 00070 | Loss(train) 0.6434 | Acc(train) 0.7799 | Acc(val) 0.8352 |
Epoch 00071 | Loss(train) 0.6298 | Acc(train) 0.7953 | Acc(val) 0.8337 |
Epoch 00072 | Loss(train) 0.6284 | Acc(train) 0.7903 | Acc(val) 0.8322 |
Epoch 00073 | Loss(train) 0.6229 | Acc(train) 0.7882 | Acc(val) 0.8332 |
Epoch 00074 | Loss(train) 0.6219 | Acc(train) 0.8004 | Acc(val) 0.8372 |*
Epoch 00075 | Loss(train) 0.6209 | Acc(train) 0.8057 | Acc(val) 0.8367 |
Epoch 00076 | Loss(train) 0.6110 | Acc(train) 0.8029 | Acc(val) 0.8362 |
Epoch 00077 | Loss(train) 0.6152 | Acc(train) 0.7999 | Acc(val) 0.8362 |
Epoch 00078 | Loss(train) 0.6068 | Acc(train) 0.7984 | Acc(val) 0.8377 |*
Epoch 00079 | Loss(train) 0.6086 | Acc(train) 0.7943 | Acc(val) 0.8382 |*
Epoch 00080 | Loss(train) 0.6095 | Acc(train) 0.7971 | Acc(val) 0.8398 |*
Epoch 00081 | Loss(train) 0.6003 | Acc(train) 0.8055 | Acc(val) 0.8408 |*
Epoch 00082 | Loss(train) 0.6021 | Acc(train) 0.8055 | Acc(val) 0.8408 |
Epoch 00083 | Loss(train) 0.5939 | Acc(train) 0.8078 | Acc(val) 0.8392 |
Epoch 00084 | Loss(train) 0.5992 | Acc(train) 0.8093 | Acc(val) 0.8408 |
Epoch 00085 | Loss(train) 0.5933 | Acc(train) 0.8144 | Acc(val) 0.8418 |*
Epoch 00086 | Loss(train) 0.5936 | Acc(train) 0.8116 | Acc(val) 0.8408 |
Epoch 00087 | Loss(train) 0.5879 | Acc(train) 0.8093 | Acc(val) 0.8438 |*
Epoch 00088 | Loss(train) 0.5891 | Acc(train) 0.8128 | Acc(val) 0.8448 |*
Epoch 00089 | Loss(train) 0.5790 | Acc(train) 0.8098 | Acc(val) 0.8443 |
Epoch 00090 | Loss(train) 0.5819 | Acc(train) 0.8073 | Acc(val) 0.8413 |
Epoch 00091 | Loss(train) 0.5777 | Acc(train) 0.8019 | Acc(val) 0.8433 |
Epoch 00092 | Loss(train) 0.5784 | Acc(train) 0.8083 | Acc(val) 0.8423 |
Epoch 00093 | Loss(train) 0.5745 | Acc(train) 0.8204 | Acc(val) 0.8463 |*
Epoch 00094 | Loss(train) 0.5769 | Acc(train) 0.8164 | Acc(val) 0.8453 |
Epoch 00095 | Loss(train) 0.5665 | Acc(train) 0.8151 | Acc(val) 0.8479 |*
Epoch 00096 | Loss(train) 0.5700 | Acc(train) 0.8166 | Acc(val) 0.8443 |
Epoch 00097 | Loss(train) 0.5663 | Acc(train) 0.8128 | Acc(val) 0.8443 |
Epoch 00098 | Loss(train) 0.5658 | Acc(train) 0.8161 | Acc(val) 0.8443 |
Epoch 00099 | Loss(train) 0.5636 | Acc(train) 0.8217 | Acc(val) 0.8458 |
Epoch 00100 | Loss(train) 0.5632 | Acc(train) 0.8161 | Acc(val) 0.8463 |
Epoch 00101 | Loss(train) 0.5565 | Acc(train) 0.8225 | Acc(val) 0.8463 |
Epoch 00102 | Loss(train) 0.5547 | Acc(train) 0.8230 | Acc(val) 0.8474 |
Epoch 00103 | Loss(train) 0.5508 | Acc(train) 0.8217 | Acc(val) 0.8489 |*
Epoch 00104 | Loss(train) 0.5544 | Acc(train) 0.8161 | Acc(val) 0.8504 |*
Epoch 00105 | Loss(train) 0.5561 | Acc(train) 0.8138 | Acc(val) 0.8540 |*
Epoch 00106 | Loss(train) 0.5457 | Acc(train) 0.8240 | Acc(val) 0.8519 |
Epoch 00107 | Loss(train) 0.5464 | Acc(train) 0.8220 | Acc(val) 0.8484 |
Epoch 00108 | Loss(train) 0.5499 | Acc(train) 0.8192 | Acc(val) 0.8489 |
Epoch 00109 | Loss(train) 0.5441 | Acc(train) 0.8268 | Acc(val) 0.8524 |
Epoch 00110 | Loss(train) 0.5418 | Acc(train) 0.8268 | Acc(val) 0.8529 |
Epoch 00111 | Loss(train) 0.5390 | Acc(train) 0.8230 | Acc(val) 0.8529 |
Epoch 00112 | Loss(train) 0.5466 | Acc(train) 0.8202 | Acc(val) 0.8540 |
Epoch 00113 | Loss(train) 0.5445 | Acc(train) 0.8273 | Acc(val) 0.8534 |
Epoch 00114 | Loss(train) 0.5385 | Acc(train) 0.8319 | Acc(val) 0.8534 |
Epoch 00115 | Loss(train) 0.5389 | Acc(train) 0.8280 | Acc(val) 0.8534 |
Epoch 00116 | Loss(train) 0.5314 | Acc(train) 0.8326 | Acc(val) 0.8529 |
Epoch 00117 | Loss(train) 0.5327 | Acc(train) 0.8319 | Acc(val) 0.8529 |
Epoch 00118 | Loss(train) 0.5392 | Acc(train) 0.8207 | Acc(val) 0.8540 |
Epoch 00119 | Loss(train) 0.5274 | Acc(train) 0.8359 | Acc(val) 0.8540 |
Epoch 00120 | Loss(train) 0.5311 | Acc(train) 0.8265 | Acc(val) 0.8540 |
Epoch 00121 | Loss(train) 0.5327 | Acc(train) 0.8268 | Acc(val) 0.8550 |*
Epoch 00122 | Loss(train) 0.5295 | Acc(train) 0.8308 | Acc(val) 0.8560 |*
Epoch 00123 | Loss(train) 0.5215 | Acc(train) 0.8341 | Acc(val) 0.8545 |
Epoch 00124 | Loss(train) 0.5276 | Acc(train) 0.8275 | Acc(val) 0.8560 |
Epoch 00125 | Loss(train) 0.5260 | Acc(train) 0.8334 | Acc(val) 0.8545 |
Epoch 00126 | Loss(train) 0.5265 | Acc(train) 0.8283 | Acc(val) 0.8555 |
Epoch 00127 | Loss(train) 0.5201 | Acc(train) 0.8308 | Acc(val) 0.8555 |
Epoch 00128 | Loss(train) 0.5248 | Acc(train) 0.8286 | Acc(val) 0.8550 |
Epoch 00129 | Loss(train) 0.5241 | Acc(train) 0.8344 | Acc(val) 0.8555 |
Epoch 00130 | Loss(train) 0.5113 | Acc(train) 0.8407 | Acc(val) 0.8550 |
Epoch 00131 | Loss(train) 0.5230 | Acc(train) 0.8367 | Acc(val) 0.8570 |*
Epoch 00132 | Loss(train) 0.5154 | Acc(train) 0.8377 | Acc(val) 0.8570 |
Epoch 00133 | Loss(train) 0.5173 | Acc(train) 0.8329 | Acc(val) 0.8585 |*
Epoch 00134 | Loss(train) 0.5159 | Acc(train) 0.8354 | Acc(val) 0.8580 |
Epoch 00135 | Loss(train) 0.5141 | Acc(train) 0.8362 | Acc(val) 0.8560 |
Epoch 00136 | Loss(train) 0.5111 | Acc(train) 0.8372 | Acc(val) 0.8560 |
Epoch 00137 | Loss(train) 0.5103 | Acc(train) 0.8369 | Acc(val) 0.8540 |
Epoch 00138 | Loss(train) 0.5158 | Acc(train) 0.8324 | Acc(val) 0.8570 |
Epoch 00139 | Loss(train) 0.5118 | Acc(train) 0.8359 | Acc(val) 0.8575 |
Epoch 00140 | Loss(train) 0.5078 | Acc(train) 0.8417 | Acc(val) 0.8590 |*
Epoch 00141 | Loss(train) 0.5027 | Acc(train) 0.8395 | Acc(val) 0.8585 |
Epoch 00142 | Loss(train) 0.5142 | Acc(train) 0.8349 | Acc(val) 0.8565 |
Epoch 00143 | Loss(train) 0.5071 | Acc(train) 0.8369 | Acc(val) 0.8555 |
Epoch 00144 | Loss(train) 0.5098 | Acc(train) 0.8364 | Acc(val) 0.8550 |
Epoch 00145 | Loss(train) 0.5034 | Acc(train) 0.8357 | Acc(val) 0.8534 |
Epoch 00146 | Loss(train) 0.5032 | Acc(train) 0.8387 | Acc(val) 0.8580 |
Epoch 00147 | Loss(train) 0.5021 | Acc(train) 0.8339 | Acc(val) 0.8580 |
Epoch 00148 | Loss(train) 0.5012 | Acc(train) 0.8384 | Acc(val) 0.8585 |
Epoch 00149 | Loss(train) 0.5012 | Acc(train) 0.8364 | Acc(val) 0.8580 |
Epoch 00150 | Loss(train) 0.5013 | Acc(train) 0.8402 | Acc(val) 0.8545 |
Epoch 00151 | Loss(train) 0.5006 | Acc(train) 0.8405 | Acc(val) 0.8545 |
Epoch 00152 | Loss(train) 0.5018 | Acc(train) 0.8313 | Acc(val) 0.8585 |
Epoch 00153 | Loss(train) 0.4967 | Acc(train) 0.8390 | Acc(val) 0.8580 |
Epoch 00154 | Loss(train) 0.5032 | Acc(train) 0.8357 | Acc(val) 0.8565 |
Epoch 00155 | Loss(train) 0.5007 | Acc(train) 0.8321 | Acc(val) 0.8545 |
Epoch 00156 | Loss(train) 0.4980 | Acc(train) 0.8387 | Acc(val) 0.8545 |
Epoch 00157 | Loss(train) 0.4982 | Acc(train) 0.8392 | Acc(val) 0.8580 |
Epoch 00158 | Loss(train) 0.4939 | Acc(train) 0.8392 | Acc(val) 0.8605 |*
Epoch 00159 | Loss(train) 0.4939 | Acc(train) 0.8384 | Acc(val) 0.8605 |
Epoch 00160 | Loss(train) 0.4885 | Acc(train) 0.8428 | Acc(val) 0.8565 |
Epoch 00161 | Loss(train) 0.4950 | Acc(train) 0.8359 | Acc(val) 0.8560 |
Epoch 00162 | Loss(train) 0.4892 | Acc(train) 0.8463 | Acc(val) 0.8560 |
Epoch 00163 | Loss(train) 0.4906 | Acc(train) 0.8369 | Acc(val) 0.8560 |
Epoch 00164 | Loss(train) 0.4898 | Acc(train) 0.8428 | Acc(val) 0.8600 |
Epoch 00165 | Loss(train) 0.4899 | Acc(train) 0.8425 | Acc(val) 0.8611 |*
Epoch 00166 | Loss(train) 0.4926 | Acc(train) 0.8392 | Acc(val) 0.8595 |
Epoch 00167 | Loss(train) 0.4860 | Acc(train) 0.8410 | Acc(val) 0.8595 |
Epoch 00168 | Loss(train) 0.4846 | Acc(train) 0.8450 | Acc(val) 0.8590 |
Epoch 00169 | Loss(train) 0.4865 | Acc(train) 0.8430 | Acc(val) 0.8600 |
Epoch 00170 | Loss(train) 0.4910 | Acc(train) 0.8329 | Acc(val) 0.8605 |
Epoch 00171 | Loss(train) 0.4928 | Acc(train) 0.8400 | Acc(val) 0.8616 |*
Epoch 00172 | Loss(train) 0.4821 | Acc(train) 0.8478 | Acc(val) 0.8611 |
Epoch 00173 | Loss(train) 0.4881 | Acc(train) 0.8382 | Acc(val) 0.8590 |
Epoch 00174 | Loss(train) 0.4833 | Acc(train) 0.8478 | Acc(val) 0.8590 |
Epoch 00175 | Loss(train) 0.4844 | Acc(train) 0.8425 | Acc(val) 0.8600 |
Epoch 00176 | Loss(train) 0.4813 | Acc(train) 0.8420 | Acc(val) 0.8590 |
Epoch 00177 | Loss(train) 0.4804 | Acc(train) 0.8466 | Acc(val) 0.8595 |
Epoch 00178 | Loss(train) 0.4827 | Acc(train) 0.8412 | Acc(val) 0.8580 |
Epoch 00179 | Loss(train) 0.4748 | Acc(train) 0.8428 | Acc(val) 0.8595 |
Epoch 00180 | Loss(train) 0.4827 | Acc(train) 0.8494 | Acc(val) 0.8595 |
Epoch 00181 | Loss(train) 0.4788 | Acc(train) 0.8395 | Acc(val) 0.8590 |
Epoch 00182 | Loss(train) 0.4822 | Acc(train) 0.8453 | Acc(val) 0.8580 |
Epoch 00183 | Loss(train) 0.4801 | Acc(train) 0.8428 | Acc(val) 0.8580 |
Epoch 00184 | Loss(train) 0.4748 | Acc(train) 0.8438 | Acc(val) 0.8590 |
Epoch 00185 | Loss(train) 0.4806 | Acc(train) 0.8504 | Acc(val) 0.8600 |
Epoch 00186 | Loss(train) 0.4834 | Acc(train) 0.8435 | Acc(val) 0.8600 |
Epoch 00187 | Loss(train) 0.4857 | Acc(train) 0.8357 | Acc(val) 0.8605 |
Epoch 00188 | Loss(train) 0.4818 | Acc(train) 0.8476 | Acc(val) 0.8605 |
Epoch 00189 | Loss(train) 0.4849 | Acc(train) 0.8382 | Acc(val) 0.8600 |
Epoch 00190 | Loss(train) 0.4743 | Acc(train) 0.8461 | Acc(val) 0.8580 |
Epoch 00191 | Loss(train) 0.4724 | Acc(train) 0.8443 | Acc(val) 0.8590 |
Epoch 00192 | Loss(train) 0.4732 | Acc(train) 0.8448 | Acc(val) 0.8585 |
Epoch 00193 | Loss(train) 0.4775 | Acc(train) 0.8407 | Acc(val) 0.8585 |
Epoch 00194 | Loss(train) 0.4744 | Acc(train) 0.8438 | Acc(val) 0.8585 |
Epoch 00195 | Loss(train) 0.4741 | Acc(train) 0.8486 | Acc(val) 0.8616 |
Epoch 00196 | Loss(train) 0.4717 | Acc(train) 0.8463 | Acc(val) 0.8605 |
Epoch 00197 | Loss(train) 0.4845 | Acc(train) 0.8397 | Acc(val) 0.8631 |*
Epoch 00198 | Loss(train) 0.4709 | Acc(train) 0.8463 | Acc(val) 0.8621 |
Epoch 00199 | Loss(train) 0.4667 | Acc(train) 0.8481 | Acc(val) 0.8605 |
Epoch 00200 | Loss(train) 0.4756 | Acc(train) 0.8463 | Acc(val) 0.8590 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcn', 'num_layer': 2, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 500, 'out_dim': 3}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 105.30 MB
GPU Memory Reserved: 170.00 MB
Exp 2/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.0983 | Acc(train) 0.3675 | Acc(val) 0.4158 |*
Epoch 00002 | Loss(train) 1.0883 | Acc(train) 0.4370 | Acc(val) 0.4133 |
Epoch 00003 | Loss(train) 1.0792 | Acc(train) 0.4278 | Acc(val) 0.4133 |
Epoch 00004 | Loss(train) 1.0689 | Acc(train) 0.4286 | Acc(val) 0.4133 |
Epoch 00005 | Loss(train) 1.0594 | Acc(train) 0.4195 | Acc(val) 0.4133 |
Epoch 00006 | Loss(train) 1.0505 | Acc(train) 0.4233 | Acc(val) 0.4133 |
Epoch 00007 | Loss(train) 1.0406 | Acc(train) 0.4256 | Acc(val) 0.4133 |
Epoch 00008 | Loss(train) 1.0348 | Acc(train) 0.4273 | Acc(val) 0.4133 |
Epoch 00009 | Loss(train) 1.0252 | Acc(train) 0.4410 | Acc(val) 0.4138 |
Epoch 00010 | Loss(train) 1.0180 | Acc(train) 0.4479 | Acc(val) 0.4270 |*
Epoch 00011 | Loss(train) 1.0091 | Acc(train) 0.4743 | Acc(val) 0.4716 |*
Epoch 00012 | Loss(train) 1.0028 | Acc(train) 0.4798 | Acc(val) 0.5218 |*
Epoch 00013 | Loss(train) 0.9945 | Acc(train) 0.5075 | Acc(val) 0.5664 |*
Epoch 00014 | Loss(train) 0.9880 | Acc(train) 0.5204 | Acc(val) 0.6131 |*
Epoch 00015 | Loss(train) 0.9780 | Acc(train) 0.5531 | Acc(val) 0.6430 |*
Epoch 00016 | Loss(train) 0.9715 | Acc(train) 0.5590 | Acc(val) 0.6572 |*
Epoch 00017 | Loss(train) 0.9623 | Acc(train) 0.5676 | Acc(val) 0.6663 |*
Epoch 00018 | Loss(train) 0.9541 | Acc(train) 0.5795 | Acc(val) 0.6709 |*
Epoch 00019 | Loss(train) 0.9471 | Acc(train) 0.5803 | Acc(val) 0.6714 |*
Epoch 00020 | Loss(train) 0.9398 | Acc(train) 0.5884 | Acc(val) 0.6744 |*
Epoch 00021 | Loss(train) 0.9286 | Acc(train) 0.6110 | Acc(val) 0.6815 |*
Epoch 00022 | Loss(train) 0.9214 | Acc(train) 0.6160 | Acc(val) 0.6891 |*
Epoch 00023 | Loss(train) 0.9111 | Acc(train) 0.6447 | Acc(val) 0.6998 |*
Epoch 00024 | Loss(train) 0.9000 | Acc(train) 0.6518 | Acc(val) 0.7074 |*
Epoch 00025 | Loss(train) 0.8952 | Acc(train) 0.6619 | Acc(val) 0.7226 |*
Epoch 00026 | Loss(train) 0.8901 | Acc(train) 0.6584 | Acc(val) 0.7297 |*
Epoch 00027 | Loss(train) 0.8826 | Acc(train) 0.6812 | Acc(val) 0.7444 |*
Epoch 00028 | Loss(train) 0.8745 | Acc(train) 0.6726 | Acc(val) 0.7535 |*
Epoch 00029 | Loss(train) 0.8624 | Acc(train) 0.7023 | Acc(val) 0.7647 |*
Epoch 00030 | Loss(train) 0.8527 | Acc(train) 0.7017 | Acc(val) 0.7718 |*
Epoch 00031 | Loss(train) 0.8463 | Acc(train) 0.7170 | Acc(val) 0.7789 |*
Epoch 00032 | Loss(train) 0.8425 | Acc(train) 0.7030 | Acc(val) 0.7825 |*
Epoch 00033 | Loss(train) 0.8325 | Acc(train) 0.7149 | Acc(val) 0.7885 |*
Epoch 00034 | Loss(train) 0.8260 | Acc(train) 0.7162 | Acc(val) 0.7941 |*
Epoch 00035 | Loss(train) 0.8138 | Acc(train) 0.7327 | Acc(val) 0.7956 |*
Epoch 00036 | Loss(train) 0.8124 | Acc(train) 0.7225 | Acc(val) 0.7977 |*
Epoch 00037 | Loss(train) 0.8017 | Acc(train) 0.7340 | Acc(val) 0.7997 |*
Epoch 00038 | Loss(train) 0.7941 | Acc(train) 0.7388 | Acc(val) 0.8022 |*
Epoch 00039 | Loss(train) 0.7901 | Acc(train) 0.7352 | Acc(val) 0.8068 |*
Epoch 00040 | Loss(train) 0.7787 | Acc(train) 0.7395 | Acc(val) 0.8109 |*
Epoch 00041 | Loss(train) 0.7777 | Acc(train) 0.7337 | Acc(val) 0.8124 |*
Epoch 00042 | Loss(train) 0.7669 | Acc(train) 0.7560 | Acc(val) 0.8119 |
Epoch 00043 | Loss(train) 0.7612 | Acc(train) 0.7575 | Acc(val) 0.8139 |*
Epoch 00044 | Loss(train) 0.7502 | Acc(train) 0.7657 | Acc(val) 0.8154 |*
Epoch 00045 | Loss(train) 0.7438 | Acc(train) 0.7626 | Acc(val) 0.8144 |
Epoch 00046 | Loss(train) 0.7365 | Acc(train) 0.7702 | Acc(val) 0.8159 |*
Epoch 00047 | Loss(train) 0.7339 | Acc(train) 0.7570 | Acc(val) 0.8174 |*
Epoch 00048 | Loss(train) 0.7253 | Acc(train) 0.7687 | Acc(val) 0.8200 |*
Epoch 00049 | Loss(train) 0.7237 | Acc(train) 0.7639 | Acc(val) 0.8200 |
Epoch 00050 | Loss(train) 0.7185 | Acc(train) 0.7677 | Acc(val) 0.8195 |
Epoch 00051 | Loss(train) 0.7129 | Acc(train) 0.7750 | Acc(val) 0.8215 |*
Epoch 00052 | Loss(train) 0.7036 | Acc(train) 0.7725 | Acc(val) 0.8210 |
Epoch 00053 | Loss(train) 0.7000 | Acc(train) 0.7768 | Acc(val) 0.8205 |
Epoch 00054 | Loss(train) 0.6914 | Acc(train) 0.7763 | Acc(val) 0.8240 |*
Epoch 00055 | Loss(train) 0.6912 | Acc(train) 0.7707 | Acc(val) 0.8245 |*
Epoch 00056 | Loss(train) 0.6862 | Acc(train) 0.7794 | Acc(val) 0.8245 |
Epoch 00057 | Loss(train) 0.6849 | Acc(train) 0.7804 | Acc(val) 0.8266 |*
Epoch 00058 | Loss(train) 0.6793 | Acc(train) 0.7783 | Acc(val) 0.8276 |*
Epoch 00059 | Loss(train) 0.6733 | Acc(train) 0.7743 | Acc(val) 0.8291 |*
Epoch 00060 | Loss(train) 0.6706 | Acc(train) 0.7842 | Acc(val) 0.8306 |*
Epoch 00061 | Loss(train) 0.6652 | Acc(train) 0.7936 | Acc(val) 0.8327 |*
Epoch 00062 | Loss(train) 0.6642 | Acc(train) 0.7872 | Acc(val) 0.8337 |*
Epoch 00063 | Loss(train) 0.6553 | Acc(train) 0.7890 | Acc(val) 0.8332 |
Epoch 00064 | Loss(train) 0.6526 | Acc(train) 0.7882 | Acc(val) 0.8322 |
Epoch 00065 | Loss(train) 0.6582 | Acc(train) 0.7811 | Acc(val) 0.8327 |
Epoch 00066 | Loss(train) 0.6466 | Acc(train) 0.7898 | Acc(val) 0.8352 |*
Epoch 00067 | Loss(train) 0.6482 | Acc(train) 0.7885 | Acc(val) 0.8367 |*
Epoch 00068 | Loss(train) 0.6368 | Acc(train) 0.7920 | Acc(val) 0.8357 |
Epoch 00069 | Loss(train) 0.6403 | Acc(train) 0.7933 | Acc(val) 0.8337 |
Epoch 00070 | Loss(train) 0.6287 | Acc(train) 0.8024 | Acc(val) 0.8347 |
Epoch 00071 | Loss(train) 0.6317 | Acc(train) 0.7969 | Acc(val) 0.8362 |
Epoch 00072 | Loss(train) 0.6266 | Acc(train) 0.7951 | Acc(val) 0.8357 |
Epoch 00073 | Loss(train) 0.6210 | Acc(train) 0.8098 | Acc(val) 0.8357 |
Epoch 00074 | Loss(train) 0.6236 | Acc(train) 0.7986 | Acc(val) 0.8352 |
Epoch 00075 | Loss(train) 0.6182 | Acc(train) 0.7994 | Acc(val) 0.8357 |
Epoch 00076 | Loss(train) 0.6128 | Acc(train) 0.8055 | Acc(val) 0.8372 |*
Epoch 00077 | Loss(train) 0.6114 | Acc(train) 0.8156 | Acc(val) 0.8382 |*
Epoch 00078 | Loss(train) 0.6115 | Acc(train) 0.8024 | Acc(val) 0.8382 |
Epoch 00079 | Loss(train) 0.6063 | Acc(train) 0.8100 | Acc(val) 0.8377 |
Epoch 00080 | Loss(train) 0.6030 | Acc(train) 0.8073 | Acc(val) 0.8362 |
Epoch 00081 | Loss(train) 0.6022 | Acc(train) 0.8047 | Acc(val) 0.8367 |
Epoch 00082 | Loss(train) 0.5981 | Acc(train) 0.8073 | Acc(val) 0.8367 |
Epoch 00083 | Loss(train) 0.5967 | Acc(train) 0.8123 | Acc(val) 0.8377 |
Epoch 00084 | Loss(train) 0.5928 | Acc(train) 0.8144 | Acc(val) 0.8382 |
Epoch 00085 | Loss(train) 0.5833 | Acc(train) 0.8123 | Acc(val) 0.8387 |*
Epoch 00086 | Loss(train) 0.5900 | Acc(train) 0.8123 | Acc(val) 0.8398 |*
Epoch 00087 | Loss(train) 0.5849 | Acc(train) 0.8187 | Acc(val) 0.8398 |
Epoch 00088 | Loss(train) 0.5827 | Acc(train) 0.8121 | Acc(val) 0.8392 |
Epoch 00089 | Loss(train) 0.5838 | Acc(train) 0.8202 | Acc(val) 0.8403 |*
Epoch 00090 | Loss(train) 0.5783 | Acc(train) 0.8204 | Acc(val) 0.8413 |*
Epoch 00091 | Loss(train) 0.5798 | Acc(train) 0.8123 | Acc(val) 0.8418 |*
Epoch 00092 | Loss(train) 0.5705 | Acc(train) 0.8174 | Acc(val) 0.8428 |*
Epoch 00093 | Loss(train) 0.5752 | Acc(train) 0.8212 | Acc(val) 0.8433 |*
Epoch 00094 | Loss(train) 0.5784 | Acc(train) 0.8067 | Acc(val) 0.8423 |
Epoch 00095 | Loss(train) 0.5788 | Acc(train) 0.8093 | Acc(val) 0.8423 |
Epoch 00096 | Loss(train) 0.5715 | Acc(train) 0.8184 | Acc(val) 0.8438 |*
Epoch 00097 | Loss(train) 0.5656 | Acc(train) 0.8121 | Acc(val) 0.8458 |*
Epoch 00098 | Loss(train) 0.5652 | Acc(train) 0.8235 | Acc(val) 0.8458 |
Epoch 00099 | Loss(train) 0.5637 | Acc(train) 0.8138 | Acc(val) 0.8463 |*
Epoch 00100 | Loss(train) 0.5606 | Acc(train) 0.8253 | Acc(val) 0.8474 |*
Epoch 00101 | Loss(train) 0.5639 | Acc(train) 0.8197 | Acc(val) 0.8469 |
Epoch 00102 | Loss(train) 0.5534 | Acc(train) 0.8215 | Acc(val) 0.8463 |
Epoch 00103 | Loss(train) 0.5589 | Acc(train) 0.8171 | Acc(val) 0.8474 |
Epoch 00104 | Loss(train) 0.5514 | Acc(train) 0.8263 | Acc(val) 0.8484 |*
Epoch 00105 | Loss(train) 0.5532 | Acc(train) 0.8192 | Acc(val) 0.8484 |
Epoch 00106 | Loss(train) 0.5497 | Acc(train) 0.8253 | Acc(val) 0.8484 |
Epoch 00107 | Loss(train) 0.5500 | Acc(train) 0.8273 | Acc(val) 0.8494 |*
Epoch 00108 | Loss(train) 0.5502 | Acc(train) 0.8245 | Acc(val) 0.8494 |
Epoch 00109 | Loss(train) 0.5419 | Acc(train) 0.8278 | Acc(val) 0.8484 |
Epoch 00110 | Loss(train) 0.5428 | Acc(train) 0.8235 | Acc(val) 0.8469 |
Epoch 00111 | Loss(train) 0.5394 | Acc(train) 0.8263 | Acc(val) 0.8484 |
Epoch 00112 | Loss(train) 0.5461 | Acc(train) 0.8280 | Acc(val) 0.8489 |
Epoch 00113 | Loss(train) 0.5507 | Acc(train) 0.8217 | Acc(val) 0.8479 |
Epoch 00114 | Loss(train) 0.5411 | Acc(train) 0.8275 | Acc(val) 0.8479 |
Epoch 00115 | Loss(train) 0.5403 | Acc(train) 0.8306 | Acc(val) 0.8479 |
Epoch 00116 | Loss(train) 0.5413 | Acc(train) 0.8250 | Acc(val) 0.8489 |
Epoch 00117 | Loss(train) 0.5327 | Acc(train) 0.8296 | Acc(val) 0.8499 |*
Epoch 00118 | Loss(train) 0.5314 | Acc(train) 0.8278 | Acc(val) 0.8499 |
Epoch 00119 | Loss(train) 0.5306 | Acc(train) 0.8296 | Acc(val) 0.8494 |
Epoch 00120 | Loss(train) 0.5324 | Acc(train) 0.8255 | Acc(val) 0.8494 |
Epoch 00121 | Loss(train) 0.5259 | Acc(train) 0.8326 | Acc(val) 0.8484 |
Epoch 00122 | Loss(train) 0.5322 | Acc(train) 0.8306 | Acc(val) 0.8489 |
Epoch 00123 | Loss(train) 0.5311 | Acc(train) 0.8248 | Acc(val) 0.8484 |
Epoch 00124 | Loss(train) 0.5237 | Acc(train) 0.8291 | Acc(val) 0.8499 |
Epoch 00125 | Loss(train) 0.5289 | Acc(train) 0.8293 | Acc(val) 0.8504 |*
Epoch 00126 | Loss(train) 0.5272 | Acc(train) 0.8298 | Acc(val) 0.8504 |
Epoch 00127 | Loss(train) 0.5204 | Acc(train) 0.8346 | Acc(val) 0.8494 |
Epoch 00128 | Loss(train) 0.5177 | Acc(train) 0.8291 | Acc(val) 0.8504 |
Epoch 00129 | Loss(train) 0.5199 | Acc(train) 0.8293 | Acc(val) 0.8489 |
Epoch 00130 | Loss(train) 0.5149 | Acc(train) 0.8341 | Acc(val) 0.8499 |
Epoch 00131 | Loss(train) 0.5194 | Acc(train) 0.8306 | Acc(val) 0.8519 |*
Epoch 00132 | Loss(train) 0.5244 | Acc(train) 0.8313 | Acc(val) 0.8519 |
Epoch 00133 | Loss(train) 0.5184 | Acc(train) 0.8364 | Acc(val) 0.8514 |
Epoch 00134 | Loss(train) 0.5097 | Acc(train) 0.8339 | Acc(val) 0.8519 |
Epoch 00135 | Loss(train) 0.5194 | Acc(train) 0.8324 | Acc(val) 0.8519 |
Epoch 00136 | Loss(train) 0.5178 | Acc(train) 0.8334 | Acc(val) 0.8550 |*
Epoch 00137 | Loss(train) 0.5169 | Acc(train) 0.8301 | Acc(val) 0.8529 |
Epoch 00138 | Loss(train) 0.5066 | Acc(train) 0.8392 | Acc(val) 0.8534 |
Epoch 00139 | Loss(train) 0.5132 | Acc(train) 0.8319 | Acc(val) 0.8529 |
