  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Epoch 00068 | Loss(train) 1.1201 | Acc(train) 0.7079 | Acc(val) 0.7122 |
Epoch 00069 | Loss(train) 1.1052 | Acc(train) 0.7227 | Acc(val) 0.7159 |*
Epoch 00070 | Loss(train) 1.0851 | Acc(train) 0.7135 | Acc(val) 0.7232 |*
Epoch 00071 | Loss(train) 1.1077 | Acc(train) 0.7338 | Acc(val) 0.7306 |*
Epoch 00072 | Loss(train) 1.0884 | Acc(train) 0.7246 | Acc(val) 0.7306 |
Epoch 00073 | Loss(train) 1.0744 | Acc(train) 0.7301 | Acc(val) 0.7343 |*
Epoch 00074 | Loss(train) 1.0577 | Acc(train) 0.7098 | Acc(val) 0.7343 |
Epoch 00075 | Loss(train) 1.0620 | Acc(train) 0.7153 | Acc(val) 0.7380 |*
Epoch 00076 | Loss(train) 1.0190 | Acc(train) 0.7394 | Acc(val) 0.7380 |
Epoch 00077 | Loss(train) 1.0166 | Acc(train) 0.7394 | Acc(val) 0.7380 |
Epoch 00078 | Loss(train) 1.0150 | Acc(train) 0.7542 | Acc(val) 0.7417 |*
Epoch 00079 | Loss(train) 1.0152 | Acc(train) 0.7246 | Acc(val) 0.7417 |
Epoch 00080 | Loss(train) 1.0006 | Acc(train) 0.7689 | Acc(val) 0.7417 |
Epoch 00081 | Loss(train) 0.9910 | Acc(train) 0.7357 | Acc(val) 0.7417 |
Epoch 00082 | Loss(train) 0.9789 | Acc(train) 0.7634 | Acc(val) 0.7491 |*
Epoch 00083 | Loss(train) 0.9808 | Acc(train) 0.7542 | Acc(val) 0.7454 |
Epoch 00084 | Loss(train) 0.9448 | Acc(train) 0.7468 | Acc(val) 0.7565 |*
Epoch 00085 | Loss(train) 0.9539 | Acc(train) 0.7726 | Acc(val) 0.7601 |*
Epoch 00086 | Loss(train) 0.9663 | Acc(train) 0.7412 | Acc(val) 0.7601 |
Epoch 00087 | Loss(train) 0.9416 | Acc(train) 0.7560 | Acc(val) 0.7638 |*
Epoch 00088 | Loss(train) 0.9145 | Acc(train) 0.8041 | Acc(val) 0.7638 |
Epoch 00089 | Loss(train) 0.9357 | Acc(train) 0.7671 | Acc(val) 0.7638 |
Epoch 00090 | Loss(train) 0.9131 | Acc(train) 0.7763 | Acc(val) 0.7638 |
Epoch 00091 | Loss(train) 0.9125 | Acc(train) 0.7745 | Acc(val) 0.7675 |*
Epoch 00092 | Loss(train) 0.8739 | Acc(train) 0.7985 | Acc(val) 0.7712 |*
Epoch 00093 | Loss(train) 0.9032 | Acc(train) 0.8078 | Acc(val) 0.7749 |*
Epoch 00094 | Loss(train) 0.8631 | Acc(train) 0.8115 | Acc(val) 0.7860 |*
Epoch 00095 | Loss(train) 0.8663 | Acc(train) 0.7967 | Acc(val) 0.7860 |
Epoch 00096 | Loss(train) 0.8975 | Acc(train) 0.7930 | Acc(val) 0.7860 |
Epoch 00097 | Loss(train) 0.8806 | Acc(train) 0.7967 | Acc(val) 0.7934 |*
Epoch 00098 | Loss(train) 0.8609 | Acc(train) 0.8096 | Acc(val) 0.7970 |*
Epoch 00099 | Loss(train) 0.8538 | Acc(train) 0.8059 | Acc(val) 0.7970 |
Epoch 00100 | Loss(train) 0.8508 | Acc(train) 0.8078 | Acc(val) 0.8044 |*
Epoch 00101 | Loss(train) 0.8312 | Acc(train) 0.8189 | Acc(val) 0.8007 |
Epoch 00102 | Loss(train) 0.8470 | Acc(train) 0.7948 | Acc(val) 0.8044 |
Epoch 00103 | Loss(train) 0.8186 | Acc(train) 0.8244 | Acc(val) 0.8044 |
Epoch 00104 | Loss(train) 0.8333 | Acc(train) 0.8096 | Acc(val) 0.8044 |
Epoch 00105 | Loss(train) 0.8251 | Acc(train) 0.8133 | Acc(val) 0.8044 |
Epoch 00106 | Loss(train) 0.8237 | Acc(train) 0.8115 | Acc(val) 0.8044 |
Epoch 00107 | Loss(train) 0.8223 | Acc(train) 0.8004 | Acc(val) 0.8044 |
Epoch 00108 | Loss(train) 0.8051 | Acc(train) 0.8170 | Acc(val) 0.8118 |*
Epoch 00109 | Loss(train) 0.7959 | Acc(train) 0.8207 | Acc(val) 0.8155 |*
Epoch 00110 | Loss(train) 0.8109 | Acc(train) 0.8299 | Acc(val) 0.8192 |*
Epoch 00111 | Loss(train) 0.7895 | Acc(train) 0.8170 | Acc(val) 0.8229 |*
Epoch 00112 | Loss(train) 0.8063 | Acc(train) 0.8189 | Acc(val) 0.8266 |*
Epoch 00113 | Loss(train) 0.7855 | Acc(train) 0.8207 | Acc(val) 0.8303 |*
Epoch 00114 | Loss(train) 0.8034 | Acc(train) 0.8152 | Acc(val) 0.8303 |
Epoch 00115 | Loss(train) 0.7446 | Acc(train) 0.8503 | Acc(val) 0.8339 |*
Epoch 00116 | Loss(train) 0.7720 | Acc(train) 0.8447 | Acc(val) 0.8339 |
Epoch 00117 | Loss(train) 0.7475 | Acc(train) 0.8189 | Acc(val) 0.8303 |
Epoch 00118 | Loss(train) 0.7478 | Acc(train) 0.8669 | Acc(val) 0.8376 |*
Epoch 00119 | Loss(train) 0.7555 | Acc(train) 0.8318 | Acc(val) 0.8413 |*
Epoch 00120 | Loss(train) 0.7678 | Acc(train) 0.8299 | Acc(val) 0.8450 |*
Epoch 00121 | Loss(train) 0.7361 | Acc(train) 0.8484 | Acc(val) 0.8450 |
Epoch 00122 | Loss(train) 0.7532 | Acc(train) 0.8392 | Acc(val) 0.8413 |
Epoch 00123 | Loss(train) 0.7177 | Acc(train) 0.8540 | Acc(val) 0.8376 |
Epoch 00124 | Loss(train) 0.7221 | Acc(train) 0.8521 | Acc(val) 0.8376 |
Epoch 00125 | Loss(train) 0.7403 | Acc(train) 0.8484 | Acc(val) 0.8413 |
Epoch 00126 | Loss(train) 0.7376 | Acc(train) 0.8318 | Acc(val) 0.8413 |
Epoch 00127 | Loss(train) 0.7274 | Acc(train) 0.8410 | Acc(val) 0.8524 |*
Epoch 00128 | Loss(train) 0.7105 | Acc(train) 0.8540 | Acc(val) 0.8524 |
Epoch 00129 | Loss(train) 0.7034 | Acc(train) 0.8558 | Acc(val) 0.8561 |*
Epoch 00130 | Loss(train) 0.7247 | Acc(train) 0.8373 | Acc(val) 0.8561 |
Epoch 00131 | Loss(train) 0.6906 | Acc(train) 0.8688 | Acc(val) 0.8561 |
Epoch 00132 | Loss(train) 0.6858 | Acc(train) 0.8651 | Acc(val) 0.8561 |
Epoch 00133 | Loss(train) 0.6850 | Acc(train) 0.8429 | Acc(val) 0.8487 |
Epoch 00134 | Loss(train) 0.6916 | Acc(train) 0.8632 | Acc(val) 0.8487 |
Epoch 00135 | Loss(train) 0.6883 | Acc(train) 0.8651 | Acc(val) 0.8487 |
Epoch 00136 | Loss(train) 0.6923 | Acc(train) 0.8447 | Acc(val) 0.8450 |
Epoch 00137 | Loss(train) 0.6948 | Acc(train) 0.8262 | Acc(val) 0.8450 |
Epoch 00138 | Loss(train) 0.6836 | Acc(train) 0.8595 | Acc(val) 0.8487 |
Epoch 00139 | Loss(train) 0.6863 | Acc(train) 0.8595 | Acc(val) 0.8487 |
Epoch 00140 | Loss(train) 0.6886 | Acc(train) 0.8558 | Acc(val) 0.8487 |
Epoch 00141 | Loss(train) 0.6820 | Acc(train) 0.8484 | Acc(val) 0.8487 |
Epoch 00142 | Loss(train) 0.6690 | Acc(train) 0.8632 | Acc(val) 0.8487 |
Epoch 00143 | Loss(train) 0.6787 | Acc(train) 0.8429 | Acc(val) 0.8487 |
Epoch 00144 | Loss(train) 0.6536 | Acc(train) 0.8762 | Acc(val) 0.8487 |
Epoch 00145 | Loss(train) 0.6578 | Acc(train) 0.8521 | Acc(val) 0.8487 |
Epoch 00146 | Loss(train) 0.6706 | Acc(train) 0.8595 | Acc(val) 0.8487 |
Epoch 00147 | Loss(train) 0.6902 | Acc(train) 0.8558 | Acc(val) 0.8487 |
Epoch 00148 | Loss(train) 0.6661 | Acc(train) 0.8651 | Acc(val) 0.8487 |
Epoch 00149 | Loss(train) 0.6763 | Acc(train) 0.8577 | Acc(val) 0.8487 |
Epoch 00150 | Loss(train) 0.6477 | Acc(train) 0.8558 | Acc(val) 0.8487 |
Epoch 00151 | Loss(train) 0.6515 | Acc(train) 0.8632 | Acc(val) 0.8524 |
Epoch 00152 | Loss(train) 0.6476 | Acc(train) 0.8854 | Acc(val) 0.8524 |
Epoch 00153 | Loss(train) 0.6271 | Acc(train) 0.8762 | Acc(val) 0.8524 |
Epoch 00154 | Loss(train) 0.6368 | Acc(train) 0.8595 | Acc(val) 0.8487 |
Epoch 00155 | Loss(train) 0.6376 | Acc(train) 0.8743 | Acc(val) 0.8450 |
Epoch 00156 | Loss(train) 0.6413 | Acc(train) 0.8743 | Acc(val) 0.8450 |
Epoch 00157 | Loss(train) 0.6272 | Acc(train) 0.8780 | Acc(val) 0.8450 |
Epoch 00158 | Loss(train) 0.6437 | Acc(train) 0.8669 | Acc(val) 0.8524 |
Epoch 00159 | Loss(train) 0.6364 | Acc(train) 0.8651 | Acc(val) 0.8561 |
Epoch 00160 | Loss(train) 0.6069 | Acc(train) 0.8799 | Acc(val) 0.8561 |
Epoch 00161 | Loss(train) 0.6290 | Acc(train) 0.8651 | Acc(val) 0.8561 |
Epoch 00162 | Loss(train) 0.6147 | Acc(train) 0.8743 | Acc(val) 0.8524 |
Epoch 00163 | Loss(train) 0.6093 | Acc(train) 0.8706 | Acc(val) 0.8524 |
Epoch 00164 | Loss(train) 0.6447 | Acc(train) 0.8762 | Acc(val) 0.8524 |
Epoch 00165 | Loss(train) 0.6333 | Acc(train) 0.8558 | Acc(val) 0.8635 |*
Epoch 00166 | Loss(train) 0.6064 | Acc(train) 0.8872 | Acc(val) 0.8635 |
Epoch 00167 | Loss(train) 0.6174 | Acc(train) 0.8725 | Acc(val) 0.8635 |
Epoch 00168 | Loss(train) 0.6086 | Acc(train) 0.8891 | Acc(val) 0.8598 |
Epoch 00169 | Loss(train) 0.5952 | Acc(train) 0.8743 | Acc(val) 0.8561 |
Epoch 00170 | Loss(train) 0.6185 | Acc(train) 0.8928 | Acc(val) 0.8561 |
Epoch 00171 | Loss(train) 0.6263 | Acc(train) 0.8780 | Acc(val) 0.8635 |
Epoch 00172 | Loss(train) 0.5975 | Acc(train) 0.8799 | Acc(val) 0.8635 |
Epoch 00173 | Loss(train) 0.5961 | Acc(train) 0.8817 | Acc(val) 0.8598 |
Epoch 00174 | Loss(train) 0.6096 | Acc(train) 0.8799 | Acc(val) 0.8561 |
Epoch 00175 | Loss(train) 0.5873 | Acc(train) 0.8817 | Acc(val) 0.8561 |
Epoch 00176 | Loss(train) 0.5853 | Acc(train) 0.8817 | Acc(val) 0.8598 |
Epoch 00177 | Loss(train) 0.6036 | Acc(train) 0.8651 | Acc(val) 0.8635 |
Epoch 00178 | Loss(train) 0.5769 | Acc(train) 0.8854 | Acc(val) 0.8635 |
Epoch 00179 | Loss(train) 0.5999 | Acc(train) 0.8743 | Acc(val) 0.8598 |
Epoch 00180 | Loss(train) 0.5789 | Acc(train) 0.8835 | Acc(val) 0.8598 |
Epoch 00181 | Loss(train) 0.5877 | Acc(train) 0.8706 | Acc(val) 0.8598 |
Epoch 00182 | Loss(train) 0.6014 | Acc(train) 0.8725 | Acc(val) 0.8598 |
Epoch 00183 | Loss(train) 0.5822 | Acc(train) 0.8688 | Acc(val) 0.8635 |
Epoch 00184 | Loss(train) 0.5812 | Acc(train) 0.8909 | Acc(val) 0.8635 |
Epoch 00185 | Loss(train) 0.5659 | Acc(train) 0.8983 | Acc(val) 0.8635 |
Epoch 00186 | Loss(train) 0.5784 | Acc(train) 0.8854 | Acc(val) 0.8598 |
Epoch 00187 | Loss(train) 0.5775 | Acc(train) 0.8799 | Acc(val) 0.8598 |
Epoch 00188 | Loss(train) 0.5644 | Acc(train) 0.8817 | Acc(val) 0.8598 |
Epoch 00189 | Loss(train) 0.5743 | Acc(train) 0.8799 | Acc(val) 0.8635 |
Epoch 00190 | Loss(train) 0.5825 | Acc(train) 0.8725 | Acc(val) 0.8672 |*
Epoch 00191 | Loss(train) 0.5510 | Acc(train) 0.8909 | Acc(val) 0.8598 |
Epoch 00192 | Loss(train) 0.5681 | Acc(train) 0.8965 | Acc(val) 0.8635 |
Epoch 00193 | Loss(train) 0.5782 | Acc(train) 0.8817 | Acc(val) 0.8672 |
Epoch 00194 | Loss(train) 0.5738 | Acc(train) 0.8725 | Acc(val) 0.8635 |
Epoch 00195 | Loss(train) 0.5760 | Acc(train) 0.8817 | Acc(val) 0.8635 |
Epoch 00196 | Loss(train) 0.5645 | Acc(train) 0.8946 | Acc(val) 0.8635 |
Epoch 00197 | Loss(train) 0.5510 | Acc(train) 0.8799 | Acc(val) 0.8635 |
Epoch 00198 | Loss(train) 0.5723 | Acc(train) 0.8872 | Acc(val) 0.8561 |
Epoch 00199 | Loss(train) 0.5529 | Acc(train) 0.9039 | Acc(val) 0.8561 |
Epoch 00200 | Loss(train) 0.5472 | Acc(train) 0.8854 | Acc(val) 0.8561 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.95, 'cal_hidden_dim': 8}, gnn={'type': 'gcn', 'num_layer': 2, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 1433, 'out_dim': 7}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 79.57 MB
GPU Memory Reserved: 100.00 MB
Exp 2/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.9457 | Acc(train) 0.1201 | Acc(val) 0.3026 |*
Epoch 00002 | Loss(train) 1.9348 | Acc(train) 0.3013 | Acc(val) 0.2989 |
Epoch 00003 | Loss(train) 1.9234 | Acc(train) 0.2921 | Acc(val) 0.2989 |
Epoch 00004 | Loss(train) 1.9115 | Acc(train) 0.2884 | Acc(val) 0.2989 |
Epoch 00005 | Loss(train) 1.8971 | Acc(train) 0.2976 | Acc(val) 0.2989 |
Epoch 00006 | Loss(train) 1.8837 | Acc(train) 0.3105 | Acc(val) 0.2989 |
Epoch 00007 | Loss(train) 1.8687 | Acc(train) 0.2957 | Acc(val) 0.2989 |
Epoch 00008 | Loss(train) 1.8546 | Acc(train) 0.2939 | Acc(val) 0.2989 |
Epoch 00009 | Loss(train) 1.8458 | Acc(train) 0.2884 | Acc(val) 0.2989 |
Epoch 00010 | Loss(train) 1.8300 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00011 | Loss(train) 1.8170 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00012 | Loss(train) 1.7966 | Acc(train) 0.3031 | Acc(val) 0.2989 |
Epoch 00013 | Loss(train) 1.7951 | Acc(train) 0.2902 | Acc(val) 0.2989 |
Epoch 00014 | Loss(train) 1.7774 | Acc(train) 0.2884 | Acc(val) 0.2989 |
Epoch 00015 | Loss(train) 1.7742 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00016 | Loss(train) 1.7596 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00017 | Loss(train) 1.7487 | Acc(train) 0.2902 | Acc(val) 0.2989 |
Epoch 00018 | Loss(train) 1.7386 | Acc(train) 0.2884 | Acc(val) 0.2989 |
Epoch 00019 | Loss(train) 1.7304 | Acc(train) 0.2902 | Acc(val) 0.2989 |
Epoch 00020 | Loss(train) 1.7167 | Acc(train) 0.2957 | Acc(val) 0.2989 |
Epoch 00021 | Loss(train) 1.7165 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00022 | Loss(train) 1.7055 | Acc(train) 0.2939 | Acc(val) 0.2989 |
Epoch 00023 | Loss(train) 1.6866 | Acc(train) 0.3031 | Acc(val) 0.2989 |
Epoch 00024 | Loss(train) 1.6794 | Acc(train) 0.2957 | Acc(val) 0.3026 |
Epoch 00025 | Loss(train) 1.6667 | Acc(train) 0.2976 | Acc(val) 0.3137 |*
Epoch 00026 | Loss(train) 1.6528 | Acc(train) 0.3216 | Acc(val) 0.3137 |
Epoch 00027 | Loss(train) 1.6383 | Acc(train) 0.3216 | Acc(val) 0.3173 |*
Epoch 00028 | Loss(train) 1.6305 | Acc(train) 0.3457 | Acc(val) 0.3210 |*
Epoch 00029 | Loss(train) 1.6257 | Acc(train) 0.3586 | Acc(val) 0.3358 |*
Epoch 00030 | Loss(train) 1.5987 | Acc(train) 0.3697 | Acc(val) 0.3432 |*
Epoch 00031 | Loss(train) 1.5768 | Acc(train) 0.4011 | Acc(val) 0.3506 |*
Epoch 00032 | Loss(train) 1.5848 | Acc(train) 0.4030 | Acc(val) 0.3542 |*
Epoch 00033 | Loss(train) 1.5644 | Acc(train) 0.4085 | Acc(val) 0.3727 |*
Epoch 00034 | Loss(train) 1.5487 | Acc(train) 0.4436 | Acc(val) 0.3838 |*
Epoch 00035 | Loss(train) 1.5377 | Acc(train) 0.4307 | Acc(val) 0.3875 |*
Epoch 00036 | Loss(train) 1.5336 | Acc(train) 0.4510 | Acc(val) 0.4059 |*
Epoch 00037 | Loss(train) 1.5104 | Acc(train) 0.4677 | Acc(val) 0.4207 |*
Epoch 00038 | Loss(train) 1.5010 | Acc(train) 0.4750 | Acc(val) 0.4317 |*
Epoch 00039 | Loss(train) 1.4774 | Acc(train) 0.5009 | Acc(val) 0.4465 |*
Epoch 00040 | Loss(train) 1.4792 | Acc(train) 0.5065 | Acc(val) 0.4539 |*
Epoch 00041 | Loss(train) 1.4577 | Acc(train) 0.5139 | Acc(val) 0.4539 |
Epoch 00042 | Loss(train) 1.4526 | Acc(train) 0.5157 | Acc(val) 0.4723 |*
Epoch 00043 | Loss(train) 1.4558 | Acc(train) 0.5083 | Acc(val) 0.5018 |*
Epoch 00044 | Loss(train) 1.4046 | Acc(train) 0.5397 | Acc(val) 0.5166 |*
Epoch 00045 | Loss(train) 1.4089 | Acc(train) 0.5638 | Acc(val) 0.5424 |*
Epoch 00046 | Loss(train) 1.3802 | Acc(train) 0.5675 | Acc(val) 0.5535 |*
Epoch 00047 | Loss(train) 1.3903 | Acc(train) 0.5896 | Acc(val) 0.5646 |*
Epoch 00048 | Loss(train) 1.3711 | Acc(train) 0.5508 | Acc(val) 0.5720 |*
Epoch 00049 | Loss(train) 1.3535 | Acc(train) 0.5767 | Acc(val) 0.5720 |
Epoch 00050 | Loss(train) 1.3464 | Acc(train) 0.5823 | Acc(val) 0.5830 |*
Epoch 00051 | Loss(train) 1.3213 | Acc(train) 0.6303 | Acc(val) 0.5904 |*
Epoch 00052 | Loss(train) 1.3111 | Acc(train) 0.6192 | Acc(val) 0.5941 |*
Epoch 00053 | Loss(train) 1.3145 | Acc(train) 0.6044 | Acc(val) 0.5941 |
Epoch 00054 | Loss(train) 1.2875 | Acc(train) 0.6211 | Acc(val) 0.6052 |*
Epoch 00055 | Loss(train) 1.2961 | Acc(train) 0.6192 | Acc(val) 0.6125 |*
Epoch 00056 | Loss(train) 1.2461 | Acc(train) 0.6470 | Acc(val) 0.6347 |*
Epoch 00057 | Loss(train) 1.2499 | Acc(train) 0.6433 | Acc(val) 0.6384 |*
Epoch 00058 | Loss(train) 1.2262 | Acc(train) 0.6747 | Acc(val) 0.6421 |*
Epoch 00059 | Loss(train) 1.2131 | Acc(train) 0.6599 | Acc(val) 0.6605 |*
Epoch 00060 | Loss(train) 1.2046 | Acc(train) 0.6451 | Acc(val) 0.6716 |*
Epoch 00061 | Loss(train) 1.2248 | Acc(train) 0.6543 | Acc(val) 0.6716 |
Epoch 00062 | Loss(train) 1.2041 | Acc(train) 0.6525 | Acc(val) 0.6900 |*
Epoch 00063 | Loss(train) 1.2003 | Acc(train) 0.6876 | Acc(val) 0.7048 |*
Epoch 00064 | Loss(train) 1.1810 | Acc(train) 0.6728 | Acc(val) 0.7048 |
Epoch 00065 | Loss(train) 1.1691 | Acc(train) 0.7061 | Acc(val) 0.7085 |*
Epoch 00066 | Loss(train) 1.1602 | Acc(train) 0.6802 | Acc(val) 0.7122 |*
Epoch 00067 | Loss(train) 1.1339 | Acc(train) 0.7153 | Acc(val) 0.7122 |
Epoch 00068 | Loss(train) 1.1207 | Acc(train) 0.7024 | Acc(val) 0.7122 |
Epoch 00069 | Loss(train) 1.1251 | Acc(train) 0.7190 | Acc(val) 0.7122 |
Epoch 00070 | Loss(train) 1.1004 | Acc(train) 0.7190 | Acc(val) 0.7122 |
Epoch 00071 | Loss(train) 1.1172 | Acc(train) 0.7024 | Acc(val) 0.7196 |*
Epoch 00072 | Loss(train) 1.0763 | Acc(train) 0.7135 | Acc(val) 0.7343 |*
Epoch 00073 | Loss(train) 1.0751 | Acc(train) 0.7098 | Acc(val) 0.7491 |*
Epoch 00074 | Loss(train) 1.0518 | Acc(train) 0.7301 | Acc(val) 0.7565 |*
Epoch 00075 | Loss(train) 1.0643 | Acc(train) 0.7357 | Acc(val) 0.7601 |*
Epoch 00076 | Loss(train) 1.0439 | Acc(train) 0.7412 | Acc(val) 0.7675 |*
Epoch 00077 | Loss(train) 1.0196 | Acc(train) 0.7394 | Acc(val) 0.7675 |
Epoch 00078 | Loss(train) 1.0482 | Acc(train) 0.7375 | Acc(val) 0.7675 |
Epoch 00079 | Loss(train) 1.0202 | Acc(train) 0.7616 | Acc(val) 0.7712 |*
Epoch 00080 | Loss(train) 1.0067 | Acc(train) 0.7431 | Acc(val) 0.7712 |
Epoch 00081 | Loss(train) 0.9923 | Acc(train) 0.7542 | Acc(val) 0.7786 |*
Epoch 00082 | Loss(train) 0.9913 | Acc(train) 0.7431 | Acc(val) 0.7860 |*
Epoch 00083 | Loss(train) 0.9914 | Acc(train) 0.7431 | Acc(val) 0.7897 |*
Epoch 00084 | Loss(train) 0.9858 | Acc(train) 0.7560 | Acc(val) 0.7897 |
Epoch 00085 | Loss(train) 0.9588 | Acc(train) 0.7837 | Acc(val) 0.7897 |
Epoch 00086 | Loss(train) 0.9860 | Acc(train) 0.7542 | Acc(val) 0.7897 |
Epoch 00087 | Loss(train) 0.9492 | Acc(train) 0.7800 | Acc(val) 0.7860 |
Epoch 00088 | Loss(train) 0.9519 | Acc(train) 0.7634 | Acc(val) 0.7860 |
Epoch 00089 | Loss(train) 0.9379 | Acc(train) 0.7708 | Acc(val) 0.7860 |
Epoch 00090 | Loss(train) 0.9223 | Acc(train) 0.7763 | Acc(val) 0.7897 |
Epoch 00091 | Loss(train) 0.9447 | Acc(train) 0.7726 | Acc(val) 0.7934 |*
Epoch 00092 | Loss(train) 0.9061 | Acc(train) 0.7967 | Acc(val) 0.8044 |*
Epoch 00093 | Loss(train) 0.8959 | Acc(train) 0.7689 | Acc(val) 0.8118 |*
Epoch 00094 | Loss(train) 0.8849 | Acc(train) 0.7985 | Acc(val) 0.8192 |*
Epoch 00095 | Loss(train) 0.9067 | Acc(train) 0.7856 | Acc(val) 0.8192 |
Epoch 00096 | Loss(train) 0.8977 | Acc(train) 0.7911 | Acc(val) 0.8192 |
Epoch 00097 | Loss(train) 0.8743 | Acc(train) 0.7967 | Acc(val) 0.8155 |
Epoch 00098 | Loss(train) 0.8836 | Acc(train) 0.7874 | Acc(val) 0.8155 |
Epoch 00099 | Loss(train) 0.8769 | Acc(train) 0.8004 | Acc(val) 0.8155 |
Epoch 00100 | Loss(train) 0.8850 | Acc(train) 0.7967 | Acc(val) 0.8118 |
Epoch 00101 | Loss(train) 0.8634 | Acc(train) 0.7893 | Acc(val) 0.8081 |
Epoch 00102 | Loss(train) 0.8463 | Acc(train) 0.8004 | Acc(val) 0.8081 |
Epoch 00103 | Loss(train) 0.8635 | Acc(train) 0.7911 | Acc(val) 0.8155 |
Epoch 00104 | Loss(train) 0.8499 | Acc(train) 0.8096 | Acc(val) 0.8155 |
Epoch 00105 | Loss(train) 0.8204 | Acc(train) 0.8355 | Acc(val) 0.8155 |
Epoch 00106 | Loss(train) 0.8368 | Acc(train) 0.8041 | Acc(val) 0.8192 |
Epoch 00107 | Loss(train) 0.8476 | Acc(train) 0.8041 | Acc(val) 0.8229 |*
Epoch 00108 | Loss(train) 0.8019 | Acc(train) 0.8299 | Acc(val) 0.8266 |*
Epoch 00109 | Loss(train) 0.8003 | Acc(train) 0.8299 | Acc(val) 0.8303 |*
Epoch 00110 | Loss(train) 0.8011 | Acc(train) 0.8336 | Acc(val) 0.8339 |*
Epoch 00111 | Loss(train) 0.8098 | Acc(train) 0.8281 | Acc(val) 0.8413 |*
Epoch 00112 | Loss(train) 0.8066 | Acc(train) 0.8059 | Acc(val) 0.8413 |
Epoch 00113 | Loss(train) 0.8034 | Acc(train) 0.8022 | Acc(val) 0.8413 |
Epoch 00114 | Loss(train) 0.8116 | Acc(train) 0.7893 | Acc(val) 0.8413 |
Epoch 00115 | Loss(train) 0.7696 | Acc(train) 0.8262 | Acc(val) 0.8487 |*
Epoch 00116 | Loss(train) 0.7667 | Acc(train) 0.8447 | Acc(val) 0.8524 |*
Epoch 00117 | Loss(train) 0.7831 | Acc(train) 0.8410 | Acc(val) 0.8524 |
Epoch 00118 | Loss(train) 0.7436 | Acc(train) 0.8632 | Acc(val) 0.8487 |
Epoch 00119 | Loss(train) 0.7752 | Acc(train) 0.8336 | Acc(val) 0.8487 |
Epoch 00120 | Loss(train) 0.7739 | Acc(train) 0.8281 | Acc(val) 0.8487 |
Epoch 00121 | Loss(train) 0.7316 | Acc(train) 0.8558 | Acc(val) 0.8487 |
Epoch 00122 | Loss(train) 0.7436 | Acc(train) 0.8484 | Acc(val) 0.8524 |
Epoch 00123 | Loss(train) 0.7525 | Acc(train) 0.8336 | Acc(val) 0.8561 |*
Epoch 00124 | Loss(train) 0.7484 | Acc(train) 0.8189 | Acc(val) 0.8598 |*
Epoch 00125 | Loss(train) 0.7422 | Acc(train) 0.8281 | Acc(val) 0.8598 |
Epoch 00126 | Loss(train) 0.7288 | Acc(train) 0.8577 | Acc(val) 0.8561 |
Epoch 00127 | Loss(train) 0.7311 | Acc(train) 0.8503 | Acc(val) 0.8561 |
Epoch 00128 | Loss(train) 0.7189 | Acc(train) 0.8447 | Acc(val) 0.8598 |
Epoch 00129 | Loss(train) 0.6891 | Acc(train) 0.8632 | Acc(val) 0.8635 |*
Epoch 00130 | Loss(train) 0.7210 | Acc(train) 0.8410 | Acc(val) 0.8708 |*
Epoch 00131 | Loss(train) 0.7134 | Acc(train) 0.8373 | Acc(val) 0.8708 |
Epoch 00132 | Loss(train) 0.7080 | Acc(train) 0.8632 | Acc(val) 0.8708 |
Epoch 00133 | Loss(train) 0.7243 | Acc(train) 0.8355 | Acc(val) 0.8708 |
Epoch 00134 | Loss(train) 0.7024 | Acc(train) 0.8521 | Acc(val) 0.8672 |
Epoch 00135 | Loss(train) 0.7211 | Acc(train) 0.8503 | Acc(val) 0.8672 |
Epoch 00136 | Loss(train) 0.7048 | Acc(train) 0.8410 | Acc(val) 0.8672 |
Epoch 00137 | Loss(train) 0.6875 | Acc(train) 0.8688 | Acc(val) 0.8635 |
Epoch 00138 | Loss(train) 0.6822 | Acc(train) 0.8614 | Acc(val) 0.8635 |
Epoch 00139 | Loss(train) 0.6958 | Acc(train) 0.8392 | Acc(val) 0.8635 |
Epoch 00140 | Loss(train) 0.7031 | Acc(train) 0.8577 | Acc(val) 0.8672 |
