/root/WATS/model/calibrator.py:322: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Epoch 00004 | Loss(train) 1.7784 | Acc(train) 0.1864 | Acc(val) 0.1687 |
Epoch 00005 | Loss(train) 1.7732 | Acc(train) 0.1864 | Acc(val) 0.1687 |
Epoch 00006 | Loss(train) 1.7697 | Acc(train) 0.1824 | Acc(val) 0.1687 |
Epoch 00007 | Loss(train) 1.7675 | Acc(train) 0.1904 | Acc(val) 0.1687 |
Epoch 00008 | Loss(train) 1.7654 | Acc(train) 0.1924 | Acc(val) 0.2048 |*
Epoch 00009 | Loss(train) 1.7569 | Acc(train) 0.2285 | Acc(val) 0.2470 |*
Epoch 00010 | Loss(train) 1.7511 | Acc(train) 0.2124 | Acc(val) 0.1867 |
Epoch 00011 | Loss(train) 1.7480 | Acc(train) 0.2425 | Acc(val) 0.1687 |
Epoch 00012 | Loss(train) 1.7444 | Acc(train) 0.2465 | Acc(val) 0.1687 |
Epoch 00013 | Loss(train) 1.7503 | Acc(train) 0.2244 | Acc(val) 0.2048 |
Epoch 00014 | Loss(train) 1.7388 | Acc(train) 0.2244 | Acc(val) 0.2590 |*
Epoch 00015 | Loss(train) 1.7457 | Acc(train) 0.2064 | Acc(val) 0.2711 |*
Epoch 00016 | Loss(train) 1.7358 | Acc(train) 0.2505 | Acc(val) 0.2651 |
Epoch 00017 | Loss(train) 1.7366 | Acc(train) 0.2405 | Acc(val) 0.2651 |
Epoch 00018 | Loss(train) 1.7472 | Acc(train) 0.2405 | Acc(val) 0.2771 |*
Epoch 00019 | Loss(train) 1.7312 | Acc(train) 0.2445 | Acc(val) 0.2771 |
Epoch 00020 | Loss(train) 1.7481 | Acc(train) 0.2325 | Acc(val) 0.2771 |
Epoch 00021 | Loss(train) 1.7376 | Acc(train) 0.2325 | Acc(val) 0.2831 |*
Epoch 00022 | Loss(train) 1.7254 | Acc(train) 0.2325 | Acc(val) 0.2771 |
Epoch 00023 | Loss(train) 1.7356 | Acc(train) 0.2365 | Acc(val) 0.2771 |
Epoch 00024 | Loss(train) 1.7247 | Acc(train) 0.2525 | Acc(val) 0.2771 |
Epoch 00025 | Loss(train) 1.7421 | Acc(train) 0.2385 | Acc(val) 0.2831 |
Epoch 00026 | Loss(train) 1.7290 | Acc(train) 0.2605 | Acc(val) 0.2892 |*
Epoch 00027 | Loss(train) 1.7331 | Acc(train) 0.2565 | Acc(val) 0.2952 |*
Epoch 00028 | Loss(train) 1.7124 | Acc(train) 0.2826 | Acc(val) 0.2952 |
Epoch 00029 | Loss(train) 1.7162 | Acc(train) 0.2625 | Acc(val) 0.2952 |
Epoch 00030 | Loss(train) 1.7202 | Acc(train) 0.2585 | Acc(val) 0.2892 |
Epoch 00031 | Loss(train) 1.7213 | Acc(train) 0.2665 | Acc(val) 0.2892 |
Epoch 00032 | Loss(train) 1.7075 | Acc(train) 0.2966 | Acc(val) 0.2892 |
Epoch 00033 | Loss(train) 1.7166 | Acc(train) 0.2565 | Acc(val) 0.2771 |
Epoch 00034 | Loss(train) 1.7092 | Acc(train) 0.2906 | Acc(val) 0.2651 |
Epoch 00035 | Loss(train) 1.7163 | Acc(train) 0.2766 | Acc(val) 0.2651 |
Epoch 00036 | Loss(train) 1.7071 | Acc(train) 0.2826 | Acc(val) 0.2651 |
Epoch 00037 | Loss(train) 1.7064 | Acc(train) 0.3006 | Acc(val) 0.2651 |
Epoch 00038 | Loss(train) 1.7113 | Acc(train) 0.2645 | Acc(val) 0.2651 |
Epoch 00039 | Loss(train) 1.7031 | Acc(train) 0.2926 | Acc(val) 0.2651 |
Epoch 00040 | Loss(train) 1.7065 | Acc(train) 0.2685 | Acc(val) 0.2651 |
Epoch 00041 | Loss(train) 1.7051 | Acc(train) 0.2685 | Acc(val) 0.2711 |
Epoch 00042 | Loss(train) 1.6998 | Acc(train) 0.2886 | Acc(val) 0.2711 |
Epoch 00043 | Loss(train) 1.6973 | Acc(train) 0.2846 | Acc(val) 0.2711 |
Epoch 00044 | Loss(train) 1.6966 | Acc(train) 0.2926 | Acc(val) 0.2771 |
Epoch 00045 | Loss(train) 1.6901 | Acc(train) 0.2906 | Acc(val) 0.2831 |
Epoch 00046 | Loss(train) 1.6953 | Acc(train) 0.3006 | Acc(val) 0.2892 |
Epoch 00047 | Loss(train) 1.6955 | Acc(train) 0.3106 | Acc(val) 0.3072 |*
Epoch 00048 | Loss(train) 1.6953 | Acc(train) 0.3126 | Acc(val) 0.3133 |*
Epoch 00049 | Loss(train) 1.6895 | Acc(train) 0.3046 | Acc(val) 0.3133 |
Epoch 00050 | Loss(train) 1.6842 | Acc(train) 0.3246 | Acc(val) 0.3193 |*
Epoch 00051 | Loss(train) 1.6801 | Acc(train) 0.3206 | Acc(val) 0.3253 |*
Epoch 00052 | Loss(train) 1.6712 | Acc(train) 0.3367 | Acc(val) 0.3133 |
Epoch 00053 | Loss(train) 1.6761 | Acc(train) 0.3287 | Acc(val) 0.3133 |
Epoch 00054 | Loss(train) 1.6702 | Acc(train) 0.3327 | Acc(val) 0.3133 |
Epoch 00055 | Loss(train) 1.6763 | Acc(train) 0.3327 | Acc(val) 0.3133 |
Epoch 00056 | Loss(train) 1.6770 | Acc(train) 0.3186 | Acc(val) 0.3193 |
Epoch 00057 | Loss(train) 1.6650 | Acc(train) 0.3407 | Acc(val) 0.3313 |*
Epoch 00058 | Loss(train) 1.6659 | Acc(train) 0.3487 | Acc(val) 0.3434 |*
Epoch 00059 | Loss(train) 1.6551 | Acc(train) 0.3527 | Acc(val) 0.3434 |
Epoch 00060 | Loss(train) 1.6419 | Acc(train) 0.3747 | Acc(val) 0.3434 |
Epoch 00061 | Loss(train) 1.6480 | Acc(train) 0.3587 | Acc(val) 0.3373 |
Epoch 00062 | Loss(train) 1.6473 | Acc(train) 0.3687 | Acc(val) 0.3313 |
Epoch 00063 | Loss(train) 1.6514 | Acc(train) 0.3567 | Acc(val) 0.3313 |
Epoch 00064 | Loss(train) 1.6358 | Acc(train) 0.3687 | Acc(val) 0.3434 |
Epoch 00065 | Loss(train) 1.6238 | Acc(train) 0.3647 | Acc(val) 0.3494 |*
Epoch 00066 | Loss(train) 1.6314 | Acc(train) 0.3768 | Acc(val) 0.3434 |
Epoch 00067 | Loss(train) 1.6307 | Acc(train) 0.3707 | Acc(val) 0.3434 |
Epoch 00068 | Loss(train) 1.6235 | Acc(train) 0.3928 | Acc(val) 0.3434 |
Epoch 00069 | Loss(train) 1.6159 | Acc(train) 0.3928 | Acc(val) 0.3554 |*
Epoch 00070 | Loss(train) 1.5970 | Acc(train) 0.4148 | Acc(val) 0.3554 |
Epoch 00071 | Loss(train) 1.6050 | Acc(train) 0.3707 | Acc(val) 0.3614 |*
Epoch 00072 | Loss(train) 1.5991 | Acc(train) 0.3928 | Acc(val) 0.3614 |
Epoch 00073 | Loss(train) 1.6061 | Acc(train) 0.4108 | Acc(val) 0.3795 |*
Epoch 00074 | Loss(train) 1.5914 | Acc(train) 0.4068 | Acc(val) 0.4036 |*
Epoch 00075 | Loss(train) 1.5595 | Acc(train) 0.4269 | Acc(val) 0.4157 |*
Epoch 00076 | Loss(train) 1.6745 | Acc(train) 0.4008 | Acc(val) 0.4096 |
Epoch 00077 | Loss(train) 1.5725 | Acc(train) 0.4228 | Acc(val) 0.3795 |
Epoch 00078 | Loss(train) 1.5674 | Acc(train) 0.4108 | Acc(val) 0.3735 |
Epoch 00079 | Loss(train) 1.5449 | Acc(train) 0.4248 | Acc(val) 0.4096 |
Epoch 00080 | Loss(train) 1.5675 | Acc(train) 0.4148 | Acc(val) 0.4398 |*
Epoch 00081 | Loss(train) 1.5387 | Acc(train) 0.3988 | Acc(val) 0.4578 |*
Epoch 00082 | Loss(train) 1.5691 | Acc(train) 0.4168 | Acc(val) 0.4639 |*
Epoch 00083 | Loss(train) 1.5854 | Acc(train) 0.4068 | Acc(val) 0.4639 |
Epoch 00084 | Loss(train) 1.5616 | Acc(train) 0.4108 | Acc(val) 0.4277 |
Epoch 00085 | Loss(train) 1.5353 | Acc(train) 0.3988 | Acc(val) 0.3976 |
Epoch 00086 | Loss(train) 1.5522 | Acc(train) 0.4008 | Acc(val) 0.4036 |
Epoch 00087 | Loss(train) 1.5365 | Acc(train) 0.4068 | Acc(val) 0.4096 |
Epoch 00088 | Loss(train) 1.5016 | Acc(train) 0.4329 | Acc(val) 0.4217 |
Epoch 00089 | Loss(train) 1.5017 | Acc(train) 0.4309 | Acc(val) 0.4518 |
Epoch 00090 | Loss(train) 1.5018 | Acc(train) 0.4469 | Acc(val) 0.4699 |*
Epoch 00091 | Loss(train) 1.5205 | Acc(train) 0.4349 | Acc(val) 0.4699 |
Epoch 00092 | Loss(train) 1.5129 | Acc(train) 0.4389 | Acc(val) 0.4639 |
Epoch 00093 | Loss(train) 1.4780 | Acc(train) 0.4729 | Acc(val) 0.4578 |
Epoch 00094 | Loss(train) 1.4908 | Acc(train) 0.4749 | Acc(val) 0.4639 |
Epoch 00095 | Loss(train) 1.5338 | Acc(train) 0.4269 | Acc(val) 0.4398 |
Epoch 00096 | Loss(train) 1.4675 | Acc(train) 0.4429 | Acc(val) 0.4277 |
Epoch 00097 | Loss(train) 1.4772 | Acc(train) 0.4008 | Acc(val) 0.4639 |
Epoch 00098 | Loss(train) 1.4478 | Acc(train) 0.4669 | Acc(val) 0.4578 |
Epoch 00099 | Loss(train) 1.4756 | Acc(train) 0.4088 | Acc(val) 0.4639 |
Epoch 00100 | Loss(train) 1.4469 | Acc(train) 0.4389 | Acc(val) 0.4699 |
Epoch 00101 | Loss(train) 1.5733 | Acc(train) 0.4329 | Acc(val) 0.4578 |
Epoch 00102 | Loss(train) 1.4273 | Acc(train) 0.4770 | Acc(val) 0.4518 |
Epoch 00103 | Loss(train) 1.4352 | Acc(train) 0.4770 | Acc(val) 0.4458 |
Epoch 00104 | Loss(train) 1.4660 | Acc(train) 0.4509 | Acc(val) 0.4578 |
Epoch 00105 | Loss(train) 1.4252 | Acc(train) 0.4709 | Acc(val) 0.4699 |
Epoch 00106 | Loss(train) 1.4433 | Acc(train) 0.4389 | Acc(val) 0.4699 |
Epoch 00107 | Loss(train) 1.3967 | Acc(train) 0.4629 | Acc(val) 0.4880 |*
Epoch 00108 | Loss(train) 1.4139 | Acc(train) 0.4970 | Acc(val) 0.5060 |*
Epoch 00109 | Loss(train) 1.4547 | Acc(train) 0.4549 | Acc(val) 0.4940 |
Epoch 00110 | Loss(train) 1.4396 | Acc(train) 0.4830 | Acc(val) 0.5000 |
Epoch 00111 | Loss(train) 1.4674 | Acc(train) 0.4549 | Acc(val) 0.4940 |
Epoch 00112 | Loss(train) 1.4373 | Acc(train) 0.4349 | Acc(val) 0.4940 |
Epoch 00113 | Loss(train) 1.4244 | Acc(train) 0.4349 | Acc(val) 0.4940 |
Epoch 00114 | Loss(train) 1.3931 | Acc(train) 0.4890 | Acc(val) 0.5181 |*
Epoch 00115 | Loss(train) 1.4143 | Acc(train) 0.4749 | Acc(val) 0.5181 |
Epoch 00116 | Loss(train) 1.4039 | Acc(train) 0.4469 | Acc(val) 0.5060 |
Epoch 00117 | Loss(train) 1.4268 | Acc(train) 0.4669 | Acc(val) 0.5181 |
Epoch 00118 | Loss(train) 1.4502 | Acc(train) 0.4709 | Acc(val) 0.5060 |
Epoch 00119 | Loss(train) 1.3962 | Acc(train) 0.4709 | Acc(val) 0.5060 |
Epoch 00120 | Loss(train) 1.3942 | Acc(train) 0.4629 | Acc(val) 0.4940 |
Epoch 00121 | Loss(train) 1.3902 | Acc(train) 0.4529 | Acc(val) 0.4940 |
Epoch 00122 | Loss(train) 1.4000 | Acc(train) 0.4810 | Acc(val) 0.5120 |
Epoch 00123 | Loss(train) 1.3345 | Acc(train) 0.4970 | Acc(val) 0.5120 |
Epoch 00124 | Loss(train) 1.3457 | Acc(train) 0.5030 | Acc(val) 0.5000 |
Epoch 00125 | Loss(train) 1.3703 | Acc(train) 0.4930 | Acc(val) 0.4880 |
Epoch 00126 | Loss(train) 1.3710 | Acc(train) 0.4890 | Acc(val) 0.4819 |
Epoch 00127 | Loss(train) 1.3704 | Acc(train) 0.5070 | Acc(val) 0.4819 |
Epoch 00128 | Loss(train) 1.3361 | Acc(train) 0.5371 | Acc(val) 0.4940 |
Epoch 00129 | Loss(train) 1.3885 | Acc(train) 0.4910 | Acc(val) 0.5000 |
Epoch 00130 | Loss(train) 1.4007 | Acc(train) 0.4629 | Acc(val) 0.5181 |
Epoch 00131 | Loss(train) 1.3519 | Acc(train) 0.4830 | Acc(val) 0.5301 |*
Epoch 00132 | Loss(train) 1.3640 | Acc(train) 0.4930 | Acc(val) 0.5301 |
Epoch 00133 | Loss(train) 1.3118 | Acc(train) 0.5291 | Acc(val) 0.5301 |
Epoch 00134 | Loss(train) 1.3728 | Acc(train) 0.4790 | Acc(val) 0.5060 |
Epoch 00135 | Loss(train) 1.3339 | Acc(train) 0.5150 | Acc(val) 0.5060 |
Epoch 00136 | Loss(train) 1.3322 | Acc(train) 0.5090 | Acc(val) 0.5301 |
Epoch 00137 | Loss(train) 1.3259 | Acc(train) 0.5150 | Acc(val) 0.5361 |*
Epoch 00138 | Loss(train) 1.3024 | Acc(train) 0.5311 | Acc(val) 0.5422 |*
Epoch 00139 | Loss(train) 1.3611 | Acc(train) 0.4709 | Acc(val) 0.5422 |
Epoch 00140 | Loss(train) 1.3301 | Acc(train) 0.5110 | Acc(val) 0.5361 |
Epoch 00141 | Loss(train) 1.3288 | Acc(train) 0.4729 | Acc(val) 0.5482 |*
Epoch 00142 | Loss(train) 1.3333 | Acc(train) 0.5030 | Acc(val) 0.5241 |
Epoch 00143 | Loss(train) 1.2814 | Acc(train) 0.5170 | Acc(val) 0.5181 |
Epoch 00144 | Loss(train) 1.2686 | Acc(train) 0.4990 | Acc(val) 0.5000 |
Epoch 00145 | Loss(train) 1.2948 | Acc(train) 0.5230 | Acc(val) 0.5000 |
Epoch 00146 | Loss(train) 1.2940 | Acc(train) 0.5271 | Acc(val) 0.5000 |
Epoch 00147 | Loss(train) 1.3204 | Acc(train) 0.5230 | Acc(val) 0.5000 |
Epoch 00148 | Loss(train) 1.3123 | Acc(train) 0.5070 | Acc(val) 0.5120 |
Epoch 00149 | Loss(train) 1.3195 | Acc(train) 0.5050 | Acc(val) 0.5301 |
Epoch 00150 | Loss(train) 1.2931 | Acc(train) 0.5251 | Acc(val) 0.5361 |
Epoch 00151 | Loss(train) 1.3665 | Acc(train) 0.5070 | Acc(val) 0.5422 |
Epoch 00152 | Loss(train) 1.3298 | Acc(train) 0.4930 | Acc(val) 0.5301 |
Epoch 00153 | Loss(train) 1.2951 | Acc(train) 0.5130 | Acc(val) 0.5361 |
Epoch 00154 | Loss(train) 1.2955 | Acc(train) 0.5351 | Acc(val) 0.5301 |
Epoch 00155 | Loss(train) 1.3218 | Acc(train) 0.4990 | Acc(val) 0.5482 |
Epoch 00156 | Loss(train) 1.2866 | Acc(train) 0.5391 | Acc(val) 0.5542 |*
Epoch 00157 | Loss(train) 1.2590 | Acc(train) 0.5311 | Acc(val) 0.5422 |
Epoch 00158 | Loss(train) 1.2629 | Acc(train) 0.5130 | Acc(val) 0.5361 |
Epoch 00159 | Loss(train) 1.2501 | Acc(train) 0.5351 | Acc(val) 0.5361 |
Epoch 00160 | Loss(train) 1.3009 | Acc(train) 0.5110 | Acc(val) 0.5482 |
Epoch 00161 | Loss(train) 1.3146 | Acc(train) 0.5190 | Acc(val) 0.5422 |
Epoch 00162 | Loss(train) 1.2675 | Acc(train) 0.5471 | Acc(val) 0.5361 |
Epoch 00163 | Loss(train) 1.2523 | Acc(train) 0.5251 | Acc(val) 0.5361 |
Epoch 00164 | Loss(train) 1.3199 | Acc(train) 0.5271 | Acc(val) 0.5422 |
Epoch 00165 | Loss(train) 1.2351 | Acc(train) 0.5471 | Acc(val) 0.5602 |*
Epoch 00166 | Loss(train) 1.2994 | Acc(train) 0.5090 | Acc(val) 0.5482 |
Epoch 00167 | Loss(train) 1.3455 | Acc(train) 0.5391 | Acc(val) 0.5482 |
Epoch 00168 | Loss(train) 1.2706 | Acc(train) 0.5311 | Acc(val) 0.5482 |
Epoch 00169 | Loss(train) 1.2433 | Acc(train) 0.5251 | Acc(val) 0.5482 |
Epoch 00170 | Loss(train) 1.2625 | Acc(train) 0.5431 | Acc(val) 0.5482 |
Epoch 00171 | Loss(train) 1.2344 | Acc(train) 0.5631 | Acc(val) 0.5783 |*
Epoch 00172 | Loss(train) 1.2133 | Acc(train) 0.5952 | Acc(val) 0.5602 |
Epoch 00173 | Loss(train) 1.2684 | Acc(train) 0.5391 | Acc(val) 0.5663 |
Epoch 00174 | Loss(train) 1.2335 | Acc(train) 0.5431 | Acc(val) 0.5482 |
Epoch 00175 | Loss(train) 1.2501 | Acc(train) 0.5531 | Acc(val) 0.5422 |
Epoch 00176 | Loss(train) 1.1990 | Acc(train) 0.5431 | Acc(val) 0.5482 |
Epoch 00177 | Loss(train) 1.2075 | Acc(train) 0.5611 | Acc(val) 0.5602 |
Epoch 00178 | Loss(train) 1.2224 | Acc(train) 0.5251 | Acc(val) 0.5542 |
Epoch 00179 | Loss(train) 1.2687 | Acc(train) 0.5431 | Acc(val) 0.5542 |
Epoch 00180 | Loss(train) 1.2405 | Acc(train) 0.5551 | Acc(val) 0.5542 |
Epoch 00181 | Loss(train) 1.1939 | Acc(train) 0.5571 | Acc(val) 0.5181 |
Epoch 00182 | Loss(train) 1.2354 | Acc(train) 0.5611 | Acc(val) 0.5602 |
Epoch 00183 | Loss(train) 1.2015 | Acc(train) 0.5752 | Acc(val) 0.5602 |
Epoch 00184 | Loss(train) 1.2331 | Acc(train) 0.5711 | Acc(val) 0.5663 |
Epoch 00185 | Loss(train) 1.2155 | Acc(train) 0.5631 | Acc(val) 0.5663 |
Epoch 00186 | Loss(train) 1.2249 | Acc(train) 0.5671 | Acc(val) 0.5663 |
Epoch 00187 | Loss(train) 1.2889 | Acc(train) 0.5230 | Acc(val) 0.5602 |
Epoch 00188 | Loss(train) 1.2340 | Acc(train) 0.5351 | Acc(val) 0.5542 |
Epoch 00189 | Loss(train) 1.2569 | Acc(train) 0.5230 | Acc(val) 0.5663 |
Epoch 00190 | Loss(train) 1.1916 | Acc(train) 0.5671 | Acc(val) 0.5602 |
Epoch 00191 | Loss(train) 1.2484 | Acc(train) 0.5772 | Acc(val) 0.5723 |
Epoch 00192 | Loss(train) 1.2345 | Acc(train) 0.5371 | Acc(val) 0.5663 |
Epoch 00193 | Loss(train) 1.2836 | Acc(train) 0.5230 | Acc(val) 0.5542 |
Epoch 00194 | Loss(train) 1.2703 | Acc(train) 0.5331 | Acc(val) 0.5602 |
Epoch 00195 | Loss(train) 1.2288 | Acc(train) 0.5471 | Acc(val) 0.5602 |
Epoch 00196 | Loss(train) 1.2095 | Acc(train) 0.5872 | Acc(val) 0.5482 |
Epoch 00197 | Loss(train) 1.2221 | Acc(train) 0.5531 | Acc(val) 0.5663 |
Epoch 00198 | Loss(train) 1.2238 | Acc(train) 0.5912 | Acc(val) 0.5783 |
Epoch 00199 | Loss(train) 1.2128 | Acc(train) 0.5611 | Acc(val) 0.5723 |
Epoch 00200 | Loss(train) 1.2169 | Acc(train) 0.5551 | Acc(val) 0.5783 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 3703, 'out_dim': 6}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': 50})
************************************
正在计算理论系数 c_k (通过数值积分)...
理论系数 c_k 计算完成。
************************************
GPU memory allowcation
GPU Memory Allocated: 112.41 MB
GPU Memory Reserved: 184.00 MB
Exp 3/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.7940 | Acc(train) 0.2265 | Acc(val) 0.2470 |*
Epoch 00002 | Loss(train) 1.7900 | Acc(train) 0.2285 | Acc(val) 0.2470 |
Epoch 00003 | Loss(train) 1.7851 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00004 | Loss(train) 1.7834 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00005 | Loss(train) 1.7798 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00006 | Loss(train) 1.7737 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00007 | Loss(train) 1.7683 | Acc(train) 0.2224 | Acc(val) 0.2470 |
Epoch 00008 | Loss(train) 1.7680 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00009 | Loss(train) 1.7645 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00010 | Loss(train) 1.7555 | Acc(train) 0.2345 | Acc(val) 0.2470 |
Epoch 00011 | Loss(train) 1.7543 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00012 | Loss(train) 1.7571 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00013 | Loss(train) 1.7518 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00014 | Loss(train) 1.7570 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00015 | Loss(train) 1.7473 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00016 | Loss(train) 1.7406 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00017 | Loss(train) 1.7378 | Acc(train) 0.2505 | Acc(val) 0.2470 |
Epoch 00018 | Loss(train) 1.7401 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00019 | Loss(train) 1.7319 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00020 | Loss(train) 1.7582 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00021 | Loss(train) 1.7320 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00022 | Loss(train) 1.7339 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00023 | Loss(train) 1.7273 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00024 | Loss(train) 1.7412 | Acc(train) 0.2445 | Acc(val) 0.2470 |
Epoch 00025 | Loss(train) 1.7359 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00026 | Loss(train) 1.7334 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00027 | Loss(train) 1.7250 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00028 | Loss(train) 1.7298 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00029 | Loss(train) 1.7234 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00030 | Loss(train) 1.7210 | Acc(train) 0.2445 | Acc(val) 0.2470 |
Epoch 00031 | Loss(train) 1.7192 | Acc(train) 0.2465 | Acc(val) 0.2470 |
Epoch 00032 | Loss(train) 1.7266 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00033 | Loss(train) 1.7309 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00034 | Loss(train) 1.7233 | Acc(train) 0.2505 | Acc(val) 0.2470 |
Epoch 00035 | Loss(train) 1.7157 | Acc(train) 0.2505 | Acc(val) 0.2470 |
Epoch 00036 | Loss(train) 1.7143 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00037 | Loss(train) 1.7182 | Acc(train) 0.2445 | Acc(val) 0.2470 |
Epoch 00038 | Loss(train) 1.7148 | Acc(train) 0.2545 | Acc(val) 0.2470 |
Epoch 00039 | Loss(train) 1.7121 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00040 | Loss(train) 1.7038 | Acc(train) 0.2685 | Acc(val) 0.2470 |
Epoch 00041 | Loss(train) 1.7115 | Acc(train) 0.2625 | Acc(val) 0.2470 |
Epoch 00042 | Loss(train) 1.7106 | Acc(train) 0.2605 | Acc(val) 0.2470 |
Epoch 00043 | Loss(train) 1.7114 | Acc(train) 0.2745 | Acc(val) 0.2470 |
Epoch 00044 | Loss(train) 1.7086 | Acc(train) 0.2846 | Acc(val) 0.2470 |
Epoch 00045 | Loss(train) 1.7032 | Acc(train) 0.2806 | Acc(val) 0.2470 |
Epoch 00046 | Loss(train) 1.7103 | Acc(train) 0.2705 | Acc(val) 0.2470 |
Epoch 00047 | Loss(train) 1.6965 | Acc(train) 0.2645 | Acc(val) 0.2470 |
Epoch 00048 | Loss(train) 1.6921 | Acc(train) 0.2806 | Acc(val) 0.2470 |
Epoch 00049 | Loss(train) 1.6990 | Acc(train) 0.2585 | Acc(val) 0.2470 |
Epoch 00050 | Loss(train) 1.7012 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Early stopping at epoch 50
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 3703, 'out_dim': 6}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': 50})
************************************
正在计算理论系数 c_k (通过数值积分)...
理论系数 c_k 计算完成。
************************************
GPU memory allowcation
GPU Memory Allocated: 112.41 MB
GPU Memory Reserved: 184.00 MB
Exp 4/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.7746 | Acc(train) 0.1723 | Acc(val) 0.1627 |*
Epoch 00002 | Loss(train) 1.7693 | Acc(train) 0.1683 | Acc(val) 0.1627 |
Epoch 00003 | Loss(train) 1.7674 | Acc(train) 0.1743 | Acc(val) 0.1627 |
Epoch 00004 | Loss(train) 1.7656 | Acc(train) 0.1703 | Acc(val) 0.2470 |*
Epoch 00005 | Loss(train) 1.7628 | Acc(train) 0.1904 | Acc(val) 0.2470 |
Epoch 00006 | Loss(train) 1.7606 | Acc(train) 0.2184 | Acc(val) 0.2470 |
Epoch 00007 | Loss(train) 1.7597 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00008 | Loss(train) 1.7542 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00009 | Loss(train) 1.7565 | Acc(train) 0.2285 | Acc(val) 0.2470 |
Epoch 00010 | Loss(train) 1.7540 | Acc(train) 0.2285 | Acc(val) 0.2470 |
Epoch 00011 | Loss(train) 1.7524 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00012 | Loss(train) 1.7476 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00013 | Loss(train) 1.7496 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00014 | Loss(train) 1.7454 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00015 | Loss(train) 1.7454 | Acc(train) 0.2345 | Acc(val) 0.2470 |
